id,Food Group,Food Name,Protein (g),Fat (g),Carbohydrates (g),Ash (g),Calories,Starch (g),Sucrose (g),Glucose (g),Fructose (g),Lactose (g),Maltose (g),Alcohol (g),Water (g),Caffeine (mg),Theobromine (mg),Sugar (g),Galactose (g),Fiber (g),Calcium (mg),Iron (mg),Magnesium (mg),Phosphorus (mg),Potasssium (mg),Sodium (mg),Zinc (mg),Cupper (mg),Fluoride (mcg),Manganese (mg),Selenium (mcg),Vitamin A (IU),Retinol (mcg),Retinol Equivalents (mcg),Beta Carotene (mcg),Alpha Carotene (mcg),Vitamin E (mg),Vitamin D (mcg),Vitamin D2 (Ergocalciferol)  (mcg),Vitamin D3 (Cholecalciferol) (mcg),Beta Cryptoxanthin (mcg),Lycopene (mcg),Lutein and Zeaxanthin (mcg),Vitamin C (mg),Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B5 (mg),Vitamin B6 (mg),Folate (B9) (mg),Vitamin B12,Choline (mg),Cholesterol (mg),Saturated Fat (g),Net Carbs
2073,Spices and Herbs,"PACE, Dry Taco Seasoning Mix",0,0,56.29,38.01,188,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,NULL,NULL,18.76,NULL,18.8,NULL,6.75,NULL,NULL,NULL,8068,NULL,NULL,NULL,NULL,NULL,9381,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,37.49
2074,Spices and Herbs,"Seasoning mix, dry, sazon, coriander & annatto",0,0,0,99.8,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.2,NULL,NULL,0,NULL,0,0,0,NULL,NULL,NULL,17000,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,0
2075,Spices and Herbs,"Seasoning mix, dry, taco, original",4.5,0,58,31.8,322,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.7,NULL,NULL,10.83,NULL,13.3,0,7.2,NULL,NULL,1000,7203,NULL,NULL,NULL,NULL,NULL,3744,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,0,0,44.7
2076,Spices and Herbs,"Seasoning mix, dry, chili, original",10.82,7.3,56.56,14.56,335,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10.75,NULL,NULL,8.67,NULL,10.8,0,3.9,NULL,NULL,NULL,4616,NULL,NULL,NULL,NULL,NULL,2816,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,0,45.76
9001,Fruits and Fruit Juices,"Acerola, (west indian cherry), raw",0.4,0.3,7.69,0.2,32,NULL,NULL,NULL,NULL,NULL,NULL,0,91.41,NULL,NULL,NULL,NULL,1.1,12,0.2,18,11,146,7,0.1,0.086,NULL,NULL,0.6,767,0,38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1677.6,0.02,0.06,0.4,0.309,0.009,14,0,NULL,0,0.068,6.59
9002,Fruits and Fruit Juices,"Acerola juice, raw",0.4,0.3,4.8,0.2,23,NULL,NULL,NULL,NULL,NULL,NULL,0,94.3,0,0,4.5,NULL,0.3,10,0.5,12,9,97,3,0.1,0.086,NULL,NULL,0.1,509,0,25,305,0,0.18,NULL,NULL,NULL,0,0,17,1600,0.02,0.06,0.4,0.205,0.004,14,0,NULL,0,0.068,4.5
9003,Fruits and Fruit Juices,"Apples, raw, with skin",0.26,0.17,13.81,0.19,52,0.05,2.07,2.43,5.9,0,0,0,85.56,0,0,10.39,0,2.4,6,0.12,5,11,107,1,0.04,0.027,3.3,0.035,0,54,0,3,27,0,0.18,0,NULL,NULL,11,0,29,4.6,0.017,0.026,0.091,0.061,0.041,3,0,3.4,0,0.028,11.41
9004,Fruits and Fruit Juices,"Apples, raw, without skin",0.27,0.13,12.76,0.17,48,NULL,0.82,3.25,6.03,0,0,0,86.67,0,0,10.1,0,1.3,5,0.07,4,11,90,0,0.05,0.031,NULL,0.038,0,38,0,2,17,0,0.05,0,NULL,NULL,13,0,18,4,0.019,0.028,0.091,0.071,0.037,0,0,3.4,0,0.021,11.46
9005,Fruits and Fruit Juices,"Apples, raw, without skin, cooked, boiled",0.26,0.36,13.64,0.28,53,NULL,NULL,NULL,NULL,NULL,NULL,0,85.47,0,0,11.01,NULL,2.4,5,0.19,3,8,88,1,0.04,0.035,NULL,0.118,0.3,44,0,2,19,0,0.05,0,NULL,NULL,14,0,19,0.2,0.016,0.012,0.095,0.046,0.044,1,0,3.4,0,0.058,11.24
9006,Fruits and Fruit Juices,"Apples, raw, without skin, cooked, microwave",0.28,0.42,14.41,0.26,56,NULL,NULL,NULL,NULL,NULL,NULL,0,84.63,0,0,11.61,NULL,2.8,5,0.17,3,8,93,1,0.04,0.046,NULL,0.142,0.3,40,0,2,17,0,0.05,0,NULL,NULL,13,0,21,0.3,0.017,0.011,0.061,0.046,0.046,1,0,3.4,0,0.068,11.61
9007,Fruits and Fruit Juices,"Apples, canned, sweetened, sliced, drained, unheated",0.18,0.49,16.7,0.27,67,NULL,NULL,NULL,NULL,NULL,NULL,0,82.36,0,0,15,NULL,1.7,4,0.23,2,5,68,3,0.03,0.053,NULL,0.153,0.3,51,0,3,22,0,0.21,0,NULL,NULL,17,0,18,0.4,0.009,0.01,0.073,0.031,0.044,0,0,3.2,0,0.08,15
9008,Fruits and Fruit Juices,"Apples, canned, sweetened, sliced, drained, heated",0.18,0.43,16.84,0.27,67,NULL,NULL,NULL,NULL,NULL,NULL,0,82.28,0,0,14.84,NULL,2,4,0.24,3,6,70,3,0.05,0.051,NULL,0.165,0.3,56,0,3,24,0,0.21,0,NULL,NULL,18,0,18,0.2,0.009,0.01,0.081,0.032,0.044,0,0,3.2,0,0.07,14.84
9009,Fruits and Fruit Juices,"Apples, dehydrated (low moisture), sulfured, uncooked",1.32,0.58,93.53,1.57,346,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,0,81.13,NULL,12.4,19,2,22,55,640,124,0.29,0.271,NULL,0.128,1.8,81,0,4,35,0,0.75,0,NULL,NULL,27,0,25,2.2,0.046,0.13,0.68,0.432,0.28,1,0,23.1,0,0.095,81.13
9010,Fruits and Fruit Juices,"Apples, dehydrated (low moisture), sulfured, stewed",0.28,0.12,19.91,0.33,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.36,NULL,NULL,NULL,NULL,2.6,4,0.43,5,12,136,26,0.06,0.058,NULL,0.027,0.4,19,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.6,0.008,0.029,0.14,0.08,0.054,0,0,NULL,0,0.02,17.31
9011,Fruits and Fruit Juices,"Apples, dried, sulfured, uncooked",0.93,0.32,65.89,1.1,243,NULL,NULL,NULL,NULL,NULL,NULL,0,31.76,0,0,57.19,NULL,8.7,14,1.4,16,38,450,87,0.2,0.191,NULL,0.09,1.3,0,0,0,0,0,0.53,0,NULL,NULL,0,0,18,3.9,0,0.159,0.927,0.245,0.125,0,0,17.6,0,0.052,57.19
9012,Fruits and Fruit Juices,"Apples, dried, sulfured, stewed, without added sugar",0.22,0.07,15.32,0.26,57,NULL,NULL,NULL,NULL,NULL,NULL,0,84.13,0,0,13.32,NULL,2,3,0.33,4,9,105,20,0.05,0.044,NULL,0.021,0.3,17,0,1,7,0,0.12,0,NULL,NULL,6,0,4,1,0.006,0.019,0.129,0.057,0.05,0,0,3.8,0,0.012,13.32
9013,Fruits and Fruit Juices,"Apples, dried, sulfured, stewed, with added sugar",0.2,0.07,20.73,0.24,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,78.76,NULL,NULL,NULL,NULL,1.9,3,0.31,3,8,98,19,0.04,0.042,NULL,0.02,NULL,16,0,1,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.9,0.006,0.018,0.121,0.054,0.047,0,0,NULL,0,0.011,18.83
9014,Fruits and Fruit Juices,"Apples, frozen, unsweetened, unheated",0.28,0.32,12.31,0.24,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.85,NULL,NULL,10.1,NULL,1.3,4,0.18,3,8,77,3,0.05,0.058,NULL,0.169,0.2,34,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.1,0.013,0.011,0.042,0.054,0.034,1,0,NULL,0,0.053,11.01
9015,Fruits and Fruit Juices,"Apples, frozen, unsweetened, heated",0.29,0.33,12,0.23,47,NULL,NULL,NULL,NULL,NULL,NULL,NULL,87.16,NULL,NULL,NULL,NULL,1.3,5,0.19,3,8,76,3,0.05,0.065,NULL,0.146,0.2,20,0,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,0.4,0.014,0.011,0.043,0.057,0.032,1,0,NULL,0,0.053,10.7
9016,Fruits and Fruit Juices,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",0.1,0.13,11.3,0.23,46,NULL,1.26,2.63,5.73,0,0,0,88.24,0,0,9.62,0,0.2,8,0.12,5,7,101,4,0.02,0.012,NULL,0.074,0.1,1,0,0,0,0,0.01,0,NULL,NULL,0,0,16,0.9,0.021,0.017,0.073,0.049,0.018,0,0,1.8,0,0.022,11.1
9017,Fruits and Fruit Juices,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",0.51,0.37,41,1.12,166,NULL,NULL,NULL,NULL,NULL,NULL,0,57,0,0,38.83,NULL,0.4,20,0.91,17,25,448,25,0.13,0.05,NULL,0.225,0.4,0,0,0,0,0,0.04,0,NULL,NULL,0,0,57,2.1,0.011,0.054,0.135,0.223,0.116,1,0,6.5,0,0.06,40.6
9018,Fruits and Fruit Juices,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",0.14,0.1,11.54,0.32,47,NULL,NULL,NULL,NULL,NULL,NULL,0,87.9,0,0,10.93,NULL,0.1,6,0.26,5,7,126,7,0.04,0.014,NULL,0.063,0.1,0,0,0,0,0,0.01,0,NULL,NULL,0,0,16,0.6,0.003,0.015,0.038,0.063,0.033,0,0,1.8,0,0.018,11.44
9019,Fruits and Fruit Juices,"Applesauce, canned, unsweetened, without added ascorbic acid (includes USDA commodity)",0.17,0.1,11.27,0.24,42,0,1.13,2.3,5.88,0,0.07,0,88.22,0,0,9.39,0,1.1,4,0.23,3,5,74,2,0.03,0.027,NULL,0.025,0.3,29,0,1,13,0,0.16,0,NULL,NULL,9,0,18,1,0.026,0.03,0.084,0.041,0.027,3,0,2.2,0,0.008,10.17
9020,Fruits and Fruit Juices,"Applesauce, canned, sweetened, without salt (includes USDA commodity)",0.16,0.17,17.49,0.21,68,NULL,1,5.5,7.27,0,0.89,0,81.98,0,0,14.67,0,1.2,3,0.12,3,6,75,2,0.03,0.032,NULL,0.03,0.3,6,0,0,3,0,0.18,0,NULL,NULL,2,0,18,1.7,0.017,0.022,0.072,0.044,0.027,1,0,3.3,0,0.03,16.29
9021,Fruits and Fruit Juices,"Apricots, raw",1.4,0.39,11.12,0.75,48,NULL,5.87,2.37,0.94,0,0.06,0,86.35,0,0,9.24,0,2,13,0.39,10,23,259,1,0.2,0.078,NULL,0.077,0.1,1926,0,96,1094,19,0.89,0,NULL,NULL,104,0,89,10,0.03,0.04,0.6,0.24,0.054,9,0,2.8,0,0.027,9.12
9022,Fruits and Fruit Juices,"Apricots, canned, water pack, with skin, solids and liquids",0.71,0.16,6.39,0.38,27,NULL,NULL,NULL,NULL,NULL,NULL,0,92.36,0,0,4.79,NULL,1.6,8,0.32,7,13,192,3,0.11,0.082,NULL,0.053,0.1,1959,0,98,1170,0,0.6,0,NULL,NULL,11,0,26,3.4,0.021,0.023,0.395,0.092,0.054,2,0,1.8,0,0.011,4.79
9023,Fruits and Fruit Juices,"Apricots, canned, water pack, without skin, solids and liquids",0.69,0.03,5.48,0.38,22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,93.43,NULL,NULL,NULL,NULL,1.1,8,0.54,9,16,154,11,0.11,0.068,NULL,0.053,NULL,1810,0,91,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1.8,0.02,0.024,0.437,0.092,0.054,2,0,NULL,0,0.002,4.38
9024,Fruits and Fruit Juices,"Apricots, canned, juice pack, with skin, solids and liquids",0.63,0.04,12.34,0.37,48,NULL,NULL,NULL,NULL,NULL,NULL,0,86.62,0,0,10.74,NULL,1.6,12,0.3,10,20,165,4,0.11,0.054,NULL,0.052,0.1,1691,0,85,1010,0,0.6,0,NULL,NULL,10,0,26,4.9,0.018,0.019,0.344,0.092,0.054,2,0,1.8,0,0.003,10.74
9025,Fruits and Fruit Juices,"Apricots, canned, extra light syrup pack, with skin, solids and liquids",0.6,0.1,12.5,0.5,49,NULL,NULL,NULL,NULL,NULL,NULL,NULL,86.3,NULL,NULL,NULL,NULL,1.6,10,0.3,6,12,140,2,0.08,0.04,NULL,0.052,NULL,1271,0,64,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,4,0.02,0.02,0.6,0.092,0.054,2,0,NULL,0,0.007,10.9
9026,Fruits and Fruit Juices,"Apricots, canned, light syrup pack, with skin, solids and liquids",0.53,0.05,16.49,0.37,63,NULL,NULL,NULL,NULL,NULL,NULL,0,82.56,0,0,14.89,NULL,1.6,11,0.39,8,13,138,4,0.11,0.079,NULL,0.052,0.1,1322,0,66,789,0,0.6,0,NULL,NULL,7,0,26,2.7,0.016,0.02,0.304,0.092,0.054,2,0,1.8,0,0.003,14.89
9027,Fruits and Fruit Juices,"Apricots, canned, heavy syrup pack, with skin, solids and liquids",0.53,0.08,21.47,0.37,83,NULL,NULL,NULL,NULL,NULL,NULL,0,77.56,0,0,19.87,NULL,1.6,9,0.3,7,12,140,4,0.11,0.078,NULL,0.051,0.1,1230,0,62,735,0,0.6,0,NULL,NULL,7,0,26,3.1,0.02,0.022,0.376,0.092,0.054,2,0,1.8,0,0.005,19.87
9028,Fruits and Fruit Juices,"Apricots, canned, heavy syrup pack, without skin, solids and liquids",0.51,0.09,21.45,0.29,83,NULL,NULL,NULL,NULL,NULL,NULL,NULL,77.66,NULL,NULL,NULL,NULL,1.6,9,0.43,8,13,134,11,0.1,0.065,NULL,0.051,NULL,1240,0,62,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2.8,0.019,0.023,0.416,0.092,0.054,2,0,NULL,0,0.006,19.85
9029,Fruits and Fruit Juices,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",0.55,0.04,24.85,0.23,96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,74.33,NULL,NULL,NULL,NULL,1.6,8,0.62,8,15,126,13,0.1,0.064,NULL,0.05,NULL,1471,0,74,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2.4,0.016,0.022,0.34,0.092,0.054,2,0,NULL,0,0.003,23.25
9030,Fruits and Fruit Juices,"Apricots, dehydrated (low-moisture), sulfured, uncooked",4.9,0.62,82.89,4.09,320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.5,NULL,NULL,NULL,NULL,NULL,61,6.31,63,157,1850,13,1,0.576,NULL,0.369,NULL,12669,0,633,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,9.5,0.043,0.148,3.58,1.067,0.52,4,0,NULL,0,0.043,82.89
9031,Fruits and Fruit Juices,"Apricots, dehydrated (low-moisture), sulfured, stewed",1.93,0.24,32.62,1.61,126,NULL,NULL,NULL,NULL,NULL,NULL,NULL,63.6,NULL,NULL,NULL,NULL,NULL,24,2.48,25,62,728,5,0.39,0.227,NULL,0.145,NULL,4407,0,220,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,7.1,0.013,0.067,1.63,0.468,0.161,2,0,NULL,0,0.017,32.62
9032,Fruits and Fruit Juices,"Apricots, dried, sulfured, uncooked",3.39,0.51,62.64,2.57,241,0.35,7.89,33.08,12.47,0,0,0,30.89,0,0,53.44,0,7.3,55,2.66,32,71,1162,10,0.39,0.343,NULL,0.235,2.2,3604,0,180,2163,0,4.33,0,NULL,NULL,0,0,0,1,0.015,0.074,2.589,0.516,0.143,10,0,13.9,0,0.017,55.34
9033,Fruits and Fruit Juices,"Apricots, dried, sulfured, stewed, without added sugar",1.2,0.18,22.15,0.91,85,NULL,NULL,NULL,NULL,NULL,NULL,0,75.56,0,0,19.57,NULL,2.6,19,0.94,11,25,411,4,0.14,0.121,NULL,0.083,0.8,1275,0,64,765,0,1.53,0,NULL,NULL,0,0,0,0.3,0.005,0.026,0.915,0.211,0.051,3,0,4.9,0,0.006,19.55
9034,Fruits and Fruit Juices,"Apricots, dried, sulfured, stewed, with added sugar",1.17,0.15,29.26,0.98,113,NULL,NULL,NULL,NULL,NULL,NULL,NULL,68.45,NULL,NULL,NULL,NULL,4.1,15,1.52,15,38,443,3,0.24,0.138,NULL,0.088,NULL,2139,0,107,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,1.4,0.005,0.027,0.853,0.191,0.103,0,0,NULL,0,0.01,25.16
9035,Fruits and Fruit Juices,"Apricots, frozen, sweetened",0.7,0.1,25.1,0.8,98,NULL,NULL,NULL,NULL,NULL,NULL,0,73.3,NULL,NULL,NULL,NULL,2.2,10,0.9,9,19,229,4,0.1,0.064,NULL,0.05,0.4,1680,0,84,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,9,0.02,0.04,0.8,0.2,0.06,2,0,NULL,0,0.007,22.9
9036,Fruits and Fruit Juices,"Apricot nectar, canned, without added ascorbic acid",0.37,0.09,14.39,0.29,56,NULL,NULL,NULL,NULL,NULL,NULL,0,84.87,0,0,13.79,NULL,0.6,7,0.38,5,9,114,3,0.09,0.073,11.9,0.032,0,1316,0,66,786,0,0.31,0,NULL,NULL,7,0,14,0.6,0.009,0.014,0.26,0.096,0.022,1,0,1,0,0.006,13.79
9037,Fruits and Fruit Juices,"Avocados, raw, all commercial varieties",2,14.66,8.53,1.58,160,0.11,0.06,0.37,0.12,0,0,0,73.23,0,0,0.66,0.1,6.7,12,0.55,29,52,485,7,0.64,0.19,7,0.142,0.4,146,0,7,62,24,2.07,0,NULL,NULL,28,0,271,10,0.067,0.13,1.738,1.389,0.257,81,0,14.2,0,2.126,1.83
9038,Fruits and Fruit Juices,"Avocados, raw, California",1.96,15.41,8.64,1.66,167,0.11,0.06,0.08,0.08,0,0,NULL,72.33,NULL,NULL,0.3,0.08,6.8,13,0.61,29,54,507,8,0.68,0.17,NULL,0.149,0.4,147,0,7,63,24,1.97,0,NULL,NULL,27,0,271,8.8,0.075,0.143,1.912,1.463,0.287,89,0,14.2,0,2.126,1.84
9039,Fruits and Fruit Juices,"Avocados, raw, Florida",2.23,10.06,7.82,1.08,120,NULL,0,2.17,0.25,0,0,NULL,78.81,NULL,NULL,2.42,NULL,5.6,10,0.17,24,40,351,2,0.4,0.311,NULL,0.095,NULL,140,0,7,53,27,2.66,0,NULL,NULL,36,NULL,NULL,17.4,0.021,0.053,0.672,0.931,0.078,35,0,NULL,0,1.96,2.22
9040,Fruits and Fruit Juices,"Bananas, raw",1.09,0.33,22.84,0.82,89,5.38,2.39,4.98,4.85,0,0.01,0,74.91,0,0,12.23,0,2.6,5,0.26,27,22,358,1,0.15,0.078,2.2,0.27,1,64,0,3,26,25,0.1,0,NULL,NULL,0,0,22,8.7,0.031,0.073,0.665,0.334,0.367,20,0,9.8,0,0.112,20.24
9041,Fruits and Fruit Juices,"Bananas, dehydrated, or banana powder",3.89,1.81,88.28,3.02,346,NULL,NULL,NULL,NULL,NULL,NULL,0,3,0,0,47.3,NULL,9.9,22,1.15,108,74,1491,3,0.61,0.391,NULL,0.574,3.9,248,0,12,101,96,0.39,0,NULL,NULL,0,0,84,7,0.18,0.24,2.8,NULL,0.44,14,0,19.6,0,0.698,78.38
9042,Fruits and Fruit Juices,"Blackberries, raw",1.39,0.49,9.61,0.37,43,0,0.07,2.31,2.4,0,0.07,0,88.15,0,0,4.88,0.03,5.3,29,0.62,20,22,162,1,0.53,0.165,NULL,0.646,0.4,214,0,11,128,0,1.17,0,NULL,NULL,0,0,118,21,0.02,0.026,0.646,0.276,0.03,25,0,8.5,0,0.014,4.31
9043,Fruits and Fruit Juices,"Blackberry juice, canned",0.3,0.6,7.8,0.4,38,NULL,NULL,NULL,NULL,NULL,NULL,0,90.9,0,0,7.7,NULL,0.1,12,0.48,21,12,135,1,0.41,0.114,NULL,NULL,0.3,123,0,6,74,0,0.9,0,NULL,NULL,0,0,68,11.3,0.012,0.018,0.446,NULL,0.021,10,0,6.6,0,0.018,7.7
9044,Fruits and Fruit Juices,"Cherries, tart, dried, sweetened",1.25,0.73,80.45,0.97,333,NULL,NULL,NULL,NULL,NULL,NULL,0,16.6,0,0,67.15,NULL,2.5,38,0.68,22,36,376,13,0.25,0.229,NULL,NULL,0.4,2829,0,141,1697,0,0.17,0,NULL,NULL,0,0,173,19.3,0.058,0.101,0.867,NULL,0.101,11,0,14.7,0,0.146,77.95
9046,Fruits and Fruit Juices,"Blackberries, canned, heavy syrup, solids and liquids",1.31,0.14,23.1,0.39,92,NULL,NULL,NULL,NULL,NULL,NULL,0,75.06,0,0,19.7,NULL,3.4,21,0.65,17,14,99,3,0.18,0.133,NULL,0.697,0.3,219,0,11,131,0,0.78,0,NULL,NULL,0,0,79,2.8,0.027,0.039,0.287,0.151,0.036,27,0,5.7,0,0.005,19.7
9048,Fruits and Fruit Juices,"Blackberries, frozen, unsweetened",1.18,0.43,15.67,0.51,64,NULL,NULL,NULL,NULL,NULL,NULL,0,82.21,0,0,10.67,NULL,5,29,0.8,22,30,140,1,0.25,0.12,NULL,1.223,0.4,114,0,6,68,0,1.17,0,NULL,NULL,0,0,118,3.1,0.029,0.046,1.207,0.151,0.061,34,0,8.5,0,0.015,10.67
9050,Fruits and Fruit Juices,"Blueberries, raw",0.74,0.33,14.49,0.24,57,0.03,0.11,4.88,4.97,0,0,0,84.21,0,0,9.96,0,2.4,6,0.28,6,12,77,1,0.16,0.057,NULL,0.336,0.1,54,0,3,32,0,0.57,0,NULL,NULL,0,0,80,9.7,0.037,0.041,0.418,0.124,0.052,6,0,6,0,0.028,12.09
9052,Fruits and Fruit Juices,"Blueberries, canned, heavy syrup, solids and liquids",0.65,0.33,22.06,0.17,88,NULL,NULL,NULL,NULL,NULL,NULL,0,76.78,0,0,20.46,NULL,1.6,5,0.33,4,10,40,3,0.07,0.053,NULL,0.203,0.1,36,0,2,22,0,0.38,0,NULL,NULL,0,0,53,1.1,0.034,0.053,0.113,0.089,0.036,2,0,4,0,0.027,20.46
9053,Fruits and Fruit Juices,"Blueberries, wild, frozen",0,0.16,13.85,0.19,57,NULL,0,3.33,3.71,0,0,NULL,85.8,NULL,NULL,NULL,NULL,4.4,17,0.58,7,13,68,3,0.67,NULL,NULL,2.87,NULL,59,NULL,3,35,2,0.26,0,NULL,NULL,NULL,NULL,NULL,1.7,0.03,0.007,0.61,NULL,0.02,NULL,0,NULL,0,0.03,9.45
9054,Fruits and Fruit Juices,"Blueberries, frozen, unsweetened",0.42,0.64,12.17,0.18,51,NULL,NULL,NULL,NULL,NULL,NULL,0,86.59,0,0,8.45,NULL,2.7,8,0.18,5,11,54,1,0.07,0.033,NULL,0.147,0.1,46,0,2,28,0,0.48,0,NULL,NULL,0,0,68,2.5,0.032,0.037,0.52,0.125,0.059,7,0,5.1,0,0.053,9.47
9055,Fruits and Fruit Juices,"Blueberries, frozen, sweetened",0.4,0.13,21.95,0.12,85,NULL,NULL,NULL,NULL,NULL,NULL,0,77.4,0,0,19.72,NULL,2.2,6,0.39,2,7,60,1,0.06,0.039,NULL,0.262,0.2,49,0,2,30,0,0.52,0,NULL,NULL,0,0,73,1,0.02,0.052,0.253,0.125,0.059,7,0,5.5,0,0.011,19.75
9056,Fruits and Fruit Juices,"Boysenberries, canned, heavy syrup",0.99,0.12,22.31,0.32,88,NULL,NULL,NULL,NULL,NULL,NULL,0,76.26,NULL,NULL,NULL,NULL,2.6,18,0.43,11,10,90,3,0.19,0.07,NULL,0.25,0.4,40,0,2,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,6.2,0.026,0.029,0.23,0.131,0.038,34,0,NULL,0,0.004,19.71
9057,Fruits and Fruit Juices,"Boysenberries, frozen, unsweetened",1.1,0.26,12.19,0.54,50,NULL,NULL,NULL,NULL,NULL,NULL,0,85.9,0,0,6.89,NULL,5.3,27,0.85,16,27,139,1,0.22,0.08,NULL,0.547,0.2,67,0,3,40,0,0.87,0,NULL,NULL,0,0,118,3.1,0.053,0.037,0.767,0.25,0.056,63,0,10.2,0,0.009,6.89
9059,Fruits and Fruit Juices,"Breadfruit, raw",1.07,0.23,27.12,0.93,103,NULL,NULL,NULL,NULL,NULL,NULL,0,70.65,0,0,11,NULL,4.9,17,0.54,25,30,490,2,0.12,0.084,NULL,0.06,0.6,0,0,0,0,0,0.1,0,NULL,NULL,0,0,22,29,0.11,0.03,0.9,0.457,0.1,14,0,9.8,0,0.048,22.22
9060,Fruits and Fruit Juices,"Carambola, (starfruit), raw",1.04,0.33,6.73,0.52,31,NULL,NULL,NULL,NULL,NULL,NULL,0,91.38,0,0,3.98,NULL,2.8,3,0.08,10,12,133,2,0.12,0.137,NULL,0.037,0.6,61,0,3,25,24,0.15,0,NULL,NULL,0,0,66,34.4,0.014,0.016,0.367,0.391,0.017,12,0,7.6,0,0.019,3.93
9061,Fruits and Fruit Juices,"Carissa, (natal-plum), raw",0.5,1.3,13.63,0.4,62,NULL,NULL,NULL,NULL,NULL,NULL,NULL,84.17,NULL,NULL,NULL,NULL,NULL,11,1.31,16,7,260,3,NULL,0.21,NULL,NULL,NULL,40,0,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,38,0.04,0.06,0.2,NULL,NULL,NULL,0,NULL,0,NULL,13.63
9062,Fruits and Fruit Juices,"Cherimoya, raw",1.57,0.68,17.71,0.65,75,0,0.66,5.93,6.28,0,0,NULL,79.39,NULL,NULL,12.87,0,3,10,0.27,17,26,287,7,0.16,0.069,NULL,0.093,NULL,5,0,0,2,0,0.27,NULL,NULL,NULL,1,0,6,12.6,0.101,0.131,0.644,0.345,0.257,23,0,NULL,0,0.233,14.71
9063,Fruits and Fruit Juices,"Cherries, sour, red, raw",1,0.3,12.18,0.4,50,NULL,0.8,4.18,3.51,0,0,0,86.13,0,0,8.49,0,1.6,16,0.32,9,15,173,3,0.1,0.104,NULL,0.112,0,1283,0,64,770,0,0.07,0,NULL,NULL,0,0,85,10,0.03,0.04,0.4,0.143,0.044,8,0,6.1,0,0.068,10.58
9064,Fruits and Fruit Juices,"Cherries, sour, red, canned, water pack, solids and liquids (includes USDA commodity red tart cherries, canned)",0.77,0.1,8.94,0.26,36,NULL,1,3.9,2.7,NULL,NULL,0,89.93,0,0,7.6,NULL,1.1,11,1.37,6,10,98,7,0.07,0.07,NULL,0.076,0,754,0,38,452,0,0.23,0,NULL,NULL,0,0,57,2.1,0.017,0.041,0.177,0.105,0.044,8,0,4.1,0,0.023,7.84
9065,Fruits and Fruit Juices,"Cherries, sour, red, canned, light syrup pack, solids and liquids",0.74,0.1,19.3,0.25,75,NULL,NULL,NULL,NULL,NULL,NULL,NULL,79.62,NULL,NULL,NULL,NULL,0.8,10,1.32,6,10,95,7,0.07,0.068,NULL,0.073,NULL,726,0,36,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,2,0.016,0.039,0.17,0.105,0.044,8,0,NULL,0,0.022,18.5
